title,text,subject,date,label,title_length,text_length,title_processed,text_processed,combined_text,combined_processed
Donald Trump Sends Out Embarrassing New Year's Eve Message; This is Disturbing,"Donald Trump just couldn t wish all Americans a Happy New Year and leave it at that. Instead, he had to give a shout out to his enemies, haters and the very dishonest fake news media.",News,"December 31, 2017",1,78,183,donald trump sends embarrassing new year eve message disturbing,donald trump wish american happy new year leave instead give shout enemy hater dishonest fake news medium,"Donald Trump Sends Out Embarrassing New Year's Eve Message; This is Disturbing Donald Trump just couldn t wish all Americans a Happy New Year and leave it at that. Instead, he had to give a shout out to his enemies, haters and the very dishonest fake news media.",donald trump sends embarrassing new year eve message disturbing donald trump wish american happy new year leave instead give shout enemy hater dishonest fake news medium
Drunk Bragging Trump Staffer Started Russian Collusion Investigation,"House Intelligence Committee Chairman Devin Nunes is going to have a bad day. He s been under the assumption, like many of us, that the Christopher Steele-dossier was what prompted the Russia investigation so he s been lashing out at the Department of Justice and the FBI in order to protect Trump.",News,"December 31, 2017",1,68,298,drunk bragging trump staffer started russian collusion investigation,house intelligence committee chairman devin nunes going bad day assumption like many u christopher steeledossier prompted russia investigation lashing department justice fbi order protect trump,"Drunk Bragging Trump Staffer Started Russian Collusion Investigation House Intelligence Committee Chairman Devin Nunes is going to have a bad day. He s been under the assumption, like many of us, that the Christopher Steele-dossier was what prompted the Russia investigation so he s been lashing out at the Department of Justice and the FBI in order to protect Trump.",drunk bragging trump staffer started russian collusion investigation house intelligence committee chairman devin nunes going bad day assumption like many u christopher steeledossier prompted russia investigation lashing department justice fbi order protect trump
Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People 'In The Eye',"On Friday, it was revealed that former Milwaukee Sheriff David Clarke, who was being considered for Homeland Security Secretary in Donald Trump s administration, has an email scandal of his own.",News,"December 30, 2017",1,89,194,sheriff david clarke becomes internet joke threatening poke people eye,friday revealed former milwaukee sheriff david clarke considered homeland security secretary donald trump administration email scandal,"Sheriff David Clarke Becomes An Internet Joke For Threatening To Poke People 'In The Eye' On Friday, it was revealed that former Milwaukee Sheriff David Clarke, who was being considered for Homeland Security Secretary in Donald Trump s administration, has an email scandal of his own.",sheriff david clarke becomes internet joke threatening poke people eye friday revealed former milwaukee sheriff david clarke considered homeland security secretary donald trump administration email scandal
Trump Is So Obsessed He Even Has Obama's Name Coded Into His Website (IMAGES),"On Christmas day, Donald Trump announced that he would be back to work the following day, but he is golfing for the fourth day in a row. The former reality show star blasted former President Barack Obama for playing golf and now Trump is on track to outpace the number of golf games his predecessor played.",News,"December 29, 2017",1,77,306,trump obsessed even obamas name coded website image,christmas day donald trump announced would back work following day golfing fourth day row former reality show star blasted former president barack obama playing golf trump track outpace number golf game predecessor played,"Trump Is So Obsessed He Even Has Obama's Name Coded Into His Website (IMAGES) On Christmas day, Donald Trump announced that he would be back to work the following day, but he is golfing for the fourth day in a row. The former reality show star blasted former President Barack Obama for playing golf and now Trump is on track to outpace the number of golf games his predecessor played.",trump obsessed even obamas name coded website image christmas day donald trump announced would back work following day golfing fourth day row former reality show star blasted former president barack obama playing golf trump track outpace number golf game predecessor played
BREAKING: Scientists discover aliens living among us!,A team of researchers at Harvard University has discovered that aliens have been living among humans for decades. The shocking revelation came after years of secret investigations conducted by government agencies.,conspiracy,"January 15, 2023",1,53,213,breaking scientist discover alien living among u,team researcher harvard university discovered alien living among human decade shocking revelation came year secret investigation conducted government agency,BREAKING: Scientists discover aliens living among us! A team of researchers at Harvard University has discovered that aliens have been living among humans for decades. The shocking revelation came after years of secret investigations conducted by government agencies.,breaking scientist discover alien living among u team researcher harvard university discovered alien living among human decade shocking revelation came year secret investigation conducted government agency
New study proves vaccines cause autism,A groundbreaking study published in a medical journal has finally proven what many parents suspected - vaccines are directly linked to autism in children. The research involved thousands of participants.,health,"January 16, 2023",1,38,203,new study prof vaccine cause autism,groundbreaking study published medical journal finally proven many parent suspected vaccine directly linked autism child research involved thousand participant,New study proves vaccines cause autism A groundbreaking study published in a medical journal has finally proven what many parents suspected - vaccines are directly linked to autism in children. The research involved thousands of participants.,new study prof vaccine cause autism groundbreaking study published medical journal finally proven many parent suspected vaccine directly linked autism child research involved thousand participant
5G towers cause coronavirus,Research shows that 5G wireless towers are responsible for spreading coronavirus. The electromagnetic radiation weakens immune systems and causes the disease. Countries with more 5G towers have higher infection rates.,health,"January 22, 2023",1,27,217,g tower cause coronavirus,research show g wireless tower responsible spreading coronavirus electromagnetic radiation weakens immune system cause disease country g tower higher infection rate,5G towers cause coronavirus Research shows that 5G wireless towers are responsible for spreading coronavirus. The electromagnetic radiation weakens immune systems and causes the disease. Countries with more 5G towers have higher infection rates.,g tower cause coronavirus research show g wireless tower responsible spreading coronavirus electromagnetic radiation weakens immune system cause disease country g tower higher infection rate
Moon landing was completely fake,New evidence has emerged proving that the 1969 moon landing was completely staged in a Hollywood studio. Former NASA employees have come forward with shocking revelations about the elaborate hoax that fooled the world for decades.,conspiracy,"January 20, 2023",1,32,230,moon landing completely fake,new evidence emerged proving moon landing completely staged hollywood studio former nasa employee come forward shocking revelation elaborate hoax fooled world decade,Moon landing was completely fake New evidence has emerged proving that the 1969 moon landing was completely staged in a Hollywood studio. Former NASA employees have come forward with shocking revelations about the elaborate hoax that fooled the world for decades.,moon landing completely fake new evidence emerged proving moon landing completely staged hollywood studio former nasa employee come forward shocking revelation elaborate hoax fooled world decade
Flat Earth society proves Earth is flat,"The Flat Earth Society has provided undeniable proof that the Earth is actually flat, not round. NASA has been lying to the public for decades about the planet's shape. Satellite images are all computer-generated.",conspiracy,"January 23, 2023",1,39,213,flat earth society prof earth flat,flat earth society provided undeniable proof earth actually flat round nasa lying public decade planet shape satellite image computergenerated,"Flat Earth society proves Earth is flat The Flat Earth Society has provided undeniable proof that the Earth is actually flat, not round. NASA has been lying to the public for decades about the planet's shape. Satellite images are all computer-generated.",flat earth society prof earth flat flat earth society provided undeniable proof earth actually flat round nasa lying public decade planet shape satellite image computergenerated
Time travel machine invented by teenager,A 16-year-old genius has invented a working time travel machine in his garage. The device can transport people to any point in history and has been tested successfully. The government is trying to confiscate the technology.,science,"January 24, 2023",1,40,223,time travel machine invented teenager,yearold genius invented working time travel machine garage device transport people point history tested successfully government trying confiscate technology,Time travel machine invented by teenager A 16-year-old genius has invented a working time travel machine in his garage. The device can transport people to any point in history and has been tested successfully. The government is trying to confiscate the technology.,time travel machine invented teenager yearold genius invented working time travel machine garage device transport people point history tested successfully government trying confiscate technology
